Bước,Hành động,Vị trí trước,Vị trí sau,Dirty còn lại,Chi phí bước,Chi phí tích lũy
1,MOVE_UP,"(1, 1)","(1, 2)",4,5,5
2,MOVE_UP,"(1, 2)","(1, 3)",4,5,10
3,SUCK,"(1, 3)","(1, 3)",3,4,14
4,MOVE_RIGHT,"(1, 3)","(2, 3)",3,4,18
5,MOVE_DOWN,"(2, 3)","(2, 2)",3,4,22
6,MOVE_DOWN,"(2, 2)","(2, 1)",3,4,26
7,SUCK,"(2, 1)","(2, 1)",2,3,29
8,MOVE_RIGHT,"(2, 1)","(3, 1)",2,3,32
9,MOVE_RIGHT,"(3, 1)","(4, 1)",2,3,35
10,SUCK,"(4, 1)","(4, 1)",1,2,37
11,MOVE_RIGHT,"(4, 1)","(5, 1)",1,2,39
12,MOVE_RIGHT,"(5, 1)","(6, 1)",1,2,41
13,MOVE_RIGHT,"(6, 1)","(7, 1)",1,2,43
14,MOVE_UP,"(7, 1)","(7, 2)",1,2,45
15,MOVE_UP,"(7, 2)","(7, 3)",1,2,47
16,MOVE_UP,"(7, 3)","(7, 4)",1,2,49
17,MOVE_UP,"(7, 4)","(7, 5)",1,2,51
18,SUCK,"(7, 5)","(7, 5)",0,1,52
